time/total_timesteps,env/d_right_mean,env/d_left_mean,env/reward_total_mean,time/iterations,env/reward_dist_mean,time/time_elapsed,env/reward_ctrl_mean,env/reward_climb_mean,env/reward_shaping_mean,env/success_rate,time/fps,train/clip_fraction,train/value_loss,train/explained_variance,train/approx_kl,train/std,train/entropy_loss,train/loss,train/n_updates,train/clip_range,train/learning_rate,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,eval/mean_reward,eval/mean_ep_length,eval/success_rate
47104,0.06622971452107909,0.013397661594316858,-0.06623069885503122,23,-0.06622971452107909,89,0.0,0.0,-9.843339521312458e-07,0.0,526,0.09873046875,0.00042575780723836943,0.8721776604652405,0.0065626632,0.7423495650291443,-6.545061020553112,0.013133232481777668,3870,0.2,0.0001,-0.0001875576956081204,3505.4615384615386,-187.2798666923077,0.3076923076923077,,,
49152,0.06600416740298046,0.013442679564297766,-0.06600316984762705,24,-0.06600416740298046,93,0.0,0.0,9.975553534137192e-07,0.0,525,0.03466796875,129.65892039611936,0.0660359263420105,0.0020042015,0.7423836588859558,-6.548424001038074,163.75860595703125,3880,0.2,0.0001,0.0013037793905823492,3505.4615384615386,-187.2798666923077,0.3076923076923077,,,
50000,0.06518169067581323,0.013467395823599177,-0.06518210008839874,,-0.06518169067581323,,0.0,0.0,-4.0941258552307235e-07,0.0,,0.1919921875,1.0921473054215312,0.567261815071106,0.015375543,0.7420101761817932,-6.546947081387043,0.4331464469432831,3890,0.2,0.0001,-0.015939088005688974,,,,183.381501,118.0,1.0
51200,0.08237639426518235,0.013650739788835322,-0.08237616702394142,25,-0.08237639426518235,97,0.0,0.0,2.2724124093036202e-07,0.0,523,,,,,,,,,,,,3612.214285714286,-198.10248814285714,0.2857142857142857,,,
53248,0.08226811794160056,0.013885541081197161,-0.08227026427410894,26,-0.08226811794160056,101,0.0,0.0,-2.146332508397679e-06,0.0,524,0.144873046875,1.0343135638162493,0.5451521873474121,0.009218508,0.7427956461906433,-6.54846678674221,0.6333268284797668,3900,0.2,0.0001,-0.009578041487839074,3612.214285714286,-198.10248814285714,0.2857142857142857,,,
55296,0.08200223620471096,0.014067052724487304,-0.08200032674299797,27,-0.08200223620471096,105,0.0,0.0,1.909461712985526e-06,0.0,525,0.16640625,0.829694015532732,-0.07100248336791992,0.0122446045,0.7423952221870422,-6.550018468499184,0.3749969005584717,3910,0.2,0.0001,-0.01117315326264361,3612.214285714286,-198.10248814285714,0.2857142857142857,,,
57344,0.06500281029119377,0.013162654055282394,-0.0650035592275931,28,-0.06500281029119377,109,0.0,0.0,-7.489363993268619e-07,0.0,525,0.145166015625,0.5168168122880161,0.23372209072113037,0.009417996,0.7401240468025208,-6.540799716114998,0.21422079205513,3920,0.2,0.0001,-0.009414936110260896,3704.733333333333,-212.77718373333335,0.26666666666666666,,,
59392,0.06440504433117461,0.013350098689823313,-0.06440552704789602,29,-0.06440504433117461,113,0.0,0.0,-4.827167214051936e-07,0.0,524,0.13115234375,0.07015298763872124,0.9061790704727173,0.009604807,0.7403817772865295,-6.532963569462299,0.02709105610847473,3930,0.2,0.0001,-0.0032634728660923427,3704.733333333333,-212.77718373333335,0.26666666666666666,,,
61440,0.06426948783732374,0.013403582203550247,-0.06426749749605043,30,-0.06426948783732374,117,0.0,0.0,1.9903412733013675e-06,0.0,524,0.105078125,0.01022574532762519,0.22676527500152588,0.004727753,0.7382856011390686,-6.524349844455719,-0.032309241592884064,3940,0.2,0.0001,-0.0003568480708054267,3785.6875,-220.3832713125,0.25,,,
63488,0.06438658858678545,0.013400700258825084,-0.06438492583693357,31,-0.06438658858678545,121,0.0,0.0,1.6627498518926447e-06,0.0,523,0.114990234375,0.015249505457177293,0.9205238819122314,0.009872025,0.7366023063659668,-6.50707446038723,-0.019053393974900246,3950,0.2,0.0001,-0.00045475718870875427,3785.6875,-220.3832713125,0.25,,,
65536,0.0647128168480868,0.013241595036300687,-0.06471259148503393,32,-0.0647128168480868,125,0.0,0.0,2.2536305287687575e-07,0.0,522,0.110205078125,0.0038908023750991562,0.28419244289398193,0.007842288,0.7373366951942444,-6.502072511613369,0.003729885444045067,3960,0.2,0.0001,0.0024899506199290043,3785.6875,-220.3832713125,0.25,,,
67584,0.06492305004227297,0.01322532630272114,-0.06492254966116524,33,-0.06492305004227297,129,0.0,0.0,5.003811077243514e-07,0.0,521,0.1421875,0.002229402194643626,0.4152069687843323,0.007553577,0.7376348376274109,-6.505682618916035,-0.007615075446665287,3970,0.2,0.0001,-0.002633710196823813,3857.1176470588234,-227.07166094117648,0.23529411764705882,,,
69632,0.0652029592531733,0.013097247569726389,-0.06520230745317307,34,-0.0652029592531733,133,0.0,0.0,6.518000002422517e-07,0.0,520,0.154638671875,0.009426967104809591,0.8892114162445068,0.016068283,0.7375041842460632,-6.505943290889263,-0.015310955233871937,3980,0.2,0.0001,-0.003625959952478297,3857.1176470588234,-227.07166094117648,0.23529411764705882,,,
71680,0.06454686878304003,0.013273771831914543,-0.06454680634069326,35,-0.06454686878304003,137,0.0,0.0,6.244234676565375e-08,0.0,519,0.100341796875,0.0014970467469538561,0.5700180530548096,0.0068457313,0.7395947575569153,-6.5123774886131285,0.0030461205169558525,3990,0.2,0.0001,-0.0006564817209437024,3920.6111111111113,-233.09739283333334,0.2222222222222222,,,
73728,0.06539152140542677,0.01316163059308805,-0.0653915477918808,36,-0.06539152140542677,142,0.0,0.0,-2.6386454040176756e-08,0.0,518,0.13486328125,0.006029255769499286,0.9255653619766235,0.0128787495,0.7433080673217773,-6.534033827483654,0.01375999953597784,4000,0.2,0.0001,-0.006650063691631658,3920.6111111111113,-233.09739283333334,0.2222222222222222,,,
